No,Name_jp,Position,NoID,PW
0,小深田　大翔,内野手,1000,
1,松井　裕樹,投手,1001,
2,太田　光,捕手,1002,
3,浅村　栄斗,内野手,1003,
4,オコエ　瑠偉,外野手,1004,
5,茂木　栄五郎,内野手,1005,
6,藤田　一也,内野手,1006,
7,鈴木　大地,内野手,1007,
8,辰己　涼介,外野手,1008,
11,岸　孝之,投手,1011,
12,近藤　弘樹,投手,1012,
13,森原　康平,投手,1013,
14,則本　昂大,投手,1014,
15,J.T. シャギワ,投手,1015,
16,涌井　秀章,投手,1016,
17,王　彦程,投手,1017,
17,塩見　貴洋,投手,1017,
19,藤平　尚真,投手,1019,
20,安樂　智大,投手,1020,
21,釜田　佳直,投手,1021,
22,牧田　和久,投手,1022,
23,弓削　隼人,投手,1023,
24,黒川　史陽,内野手,1024,
25,田中　和基,外野手,1025,
26,渡辺　直人,内野手,1026,
27,岡島　豪郎,捕手,1027,
28,酒居　知史,投手,1028,
29,山下　斐紹,捕手,1029,
31,福井　優也,投手,1031,
32,ブセニッツ,投手,1032,
33,銀次,内野手,1033,
34,山﨑　剛,内野手,1034,
35,島内　宏明,外野手,1035,
36,内田　靖人,内野手,1036,
38,岩見　雅紀,外野手,1038,
39,引地　秀一郎,投手,1039,
40,ウィーラー,内野手,1040,
41,青山　浩二,投手,1041,
43,宋　家豪,投手,1043,
44,足立　祐一,捕手,1044,
45,菅原　秀,投手,1045,
46,下水流　昂,外野手,1046,
47,渡邊　佑樹,投手,1047,
48,渡邊　佳明,内野手,1048,
49,福森　耀真,投手,1049,
51,小郷　裕哉,外野手,1051,
52,津留﨑　大成,投手,1052,
53,高梨　雄平,投手,1053,
54,和田　恋,外野手,1054,
56,鈴木　翔天,投手,1056,
57,瀧中　瞭太,投手,1057,
58,辛島　航,投手,1058,
59,熊原　健人,投手,1059,
60,石橋　良太,投手,1060,
61,佐藤　智輝,投手,1061,
62,西口　直人,投手,1062,
63,由規,投手,1063,
65,堀内　謙伍,捕手,1065,
66,村林　一輝,内野手,1066,
68,寺岡　寛治,投手,1068,
69,ブラッシュ,外野手,1069,
70,石原　彪,捕手,1070,
71,武藤　敦貴,外野手,1071,
78,水上　桂,捕手,1078,
91,久保　裕也,投手,1091,
97,フェルナンド,外野手,1097,
8,吉持　亮汰,内野手,2008,
16,森　雄大,投手,2016,
129,南　要輔,内野手,2129,
130,池田　隆英,投手,2130,
131,木村　敏靖,投手,2131,
133,松本　京志郎,内野手,2133,
134,中村　和希,外野手,2134,
135,清宮　虎多朗,投手,2135,
136,則本　佳樹,投手,2136,
137,江川　侑斗,捕手,2137,
138,小峯　新陸,投手,2138,
139,下妻　貴寛,捕手,2139,
140,山﨑　真彰,内野手,2140,
141,澤野　聖悠,内野手,2141,
150,耀飛,外野手,2150,
164,福山　博之,投手,2164,
